Tags,Device Name,IP Address,Device Family,Site,Reachability,Support Type,MAC Address,Platform,Serial Number,Uptime,Last Updated,Resync Interval,Manageability,Device Role,Device Series,Vendor,AP LED Flash Status,Advisories,Template Provision Status,Software Image,Template Conflict Status,Image Version,OS Update Status,Image Needs Update,Image Precheck Status,Image Compatibility,Provisioning Status,Credential Status,Last Provisioned,Associated WLC IP,AP CDP Neighbors,AP Group Name,Flex Group Name,AP Ethernet MAC Address,AP Location,AP Zone Name,RF Profile,Policy Tag,Site Tag,Application Telemetry,Replacement Serial Number,Replace Status,New Serial Number,New Platform,Refresh Status,Compliance,Integrity Verification,EoX Status,Certificate Status,Health Score
,NU-APK3404,10.2.18.215,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/-3 Kelder,Reachable,Supported,50:5c:88:f1:0a:40,CW9166I-E,KWC2834046J,37 days 21 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,NK3PTH3A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/36),NA,NA,c4:14:a2:c6:dc:80,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_-3Kelder_33712,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-APK3403,10.2.18.22,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/-3 Kelder,Reachable,Supported,50:5c:88:f1:15:e0,CW9166I-E,KWC28340499,37 days 21 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,NK3PTH3A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/35),NA,NA,c4:14:a2:c6:e2:50,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_-3Kelder_33712,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-APK2400,10.2.19.4,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/-2 Kelder,Reachable,Supported,50:5c:88:f1:18:80,CW9166I-E,KWC2834049W,37 days 21 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,NK3PTH3A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/25),NA,NA,c4:14:a2:c6:e3:a0,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_-2Kelder_bddd4_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,Not Provisioned,10
,NU-APK2399,10.2.19.208,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/-2 Kelder,Reachable,Supported,50:5c:88:f1:5c:40,CW9166I-E,KWC283404RU,20 days 15 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,NK1PF04A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/45),NA,NA,c4:14:a2:c7:05:80,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_-2Kelder_bddd4_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-APK1406,10.2.18.137,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/-1 Kelder,Reachable,Supported,78:f1:c6:f6:73:60,C9120AXI-E,FCW2641YKZZ,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst 9120AXI Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,NA,NA,NA,78:f1:c6:cc:6c:c4,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_-1Kelder_16b05,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-APK1405,10.2.18.101,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/-1 Kelder,Reachable,Supported,78:f1:c6:f6:60:20,C9120AXI-E,FCW2641YKZX,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst 9120AXI Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,NK1P18A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/1),NA,NA,78:f1:c6:cc:6a:5c,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_-1Kelder_16b05,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,Not Provisioned,10
,NU-APK1402,10.2.18.54,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/-1 Kelder,Reachable,Supported,50:5c:88:f1:19:a0,CW9166I-E,KWC283404A5,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,NK1P06A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/41),NA,NA,c4:14:a2:c6:e4:30,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_-1Kelder_16b05,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,Not Provisioned,10
,NU-APK1401,10.2.18.90,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/-1 Kelder,Reachable,Supported,50:5c:88:f1:30:a0,CW9166I-E,KWC283404FK,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,NK1P06A1-D01.backbone.vu.nl(Port:GigabitEthernet1/0/26),NA,NA,c4:14:a2:c6:ef:b0,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_-1Kelder_16b05,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP12325,10.2.19.192,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/12e Verdieping,Reachable,Supported,48:00:b3:5a:82:40,CW9166I-E,KWC28280HC4,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N12A38A1-D01.backbone.vu.nl(Port:GigabitEthernet5/0/37),NA,NA,c4:14:a2:b8:13:70,default location,APZ_NU_VUD_VU-ResearchDevice-net,RF-NU-Gebouw,PT_VU-ca_NU-Ge_12eVerdi_11503_1,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
,NU-AP12324,10.2.19.133,Unified AP,Global/VU/Amsterdam/VU-campus/NU-Gebouw/12e Verdieping,Reachable,Supported,50:5c:88:f1:16:60,CW9166I-E,KWC2834049D,96 days 6 hrs ,36 minutes ago,N/A,Managed,ACCESS,Cisco Catalyst Wireless 9166 Series Unified Access Points,NA,Disabled,NA (Wireless Access Points are currently not supported for identifying security vulnerabilities.),Not Provisioned,,Not Provisioned,17.15.4.18,NA,UNSUPPORTED,Success,UNKNOWN,Success,Not Applicable,7 days ago,130.37.2.20,N12A38A1-D01.backbone.vu.nl(Port:GigabitEthernet5/0/38),NA,NA,c4:14:a2:c6:e2:90,default location,APZ_NU_VU_Default,RF-NU-Gebouw,PT_VU-ca_NU-Ge_12eVerdi_11503_2,ST_VU-ca_NU-Gebou_e253d_0,Not Provisioned,,,,,,NOT_APPLICABLE,UNSUPPORTED,Not Scanned,NA,10
